headline,url,date,author,contributors,editorial_source,update_time,intro
Ethiopia's leader said he would bury his enemy. His spokeswoman doesn't think it was incitement to violence,https://www.cnn.com/2021/11/10/africa/ethiopia-billene-seyoum-getachew-reda-ctw-interview-intl/index.html,2021-11-10,"Eliza Mackintosh, CNN",CNN's Richard Roth and Jennifer Hansler contributed to this report.,(CNN),"Updated 2214 GMT (0614 HKT) November 10, 2021","Ethiopian Prime Minister Abiy Ahmed pledged to bury his government's enemies ""with our blood"" last week, in an inflammatory speech marking the one-year anniversary of the war in the country's northern Tigray region."
Amnesty International accuses Tigrayan rebel fighters of gang raping women in Ethiopia,https://www.cnn.com/2021/11/10/africa/amnesty-ethiopia-tplf-rape-intl/index.html,2021-11-10,"Katie Polglase, Noon Salih and Zeena Saifi, CNN",,(CNN),"Updated 1707 GMT (0107 HKT) November 10, 2021","Fighters from Ethiopia's northern Tigray region have been accused of gang rape and physical assault by 16 women in the neighboring Amhara region, according to a report released by Amnesty International on Wednesday."
Ethiopia's war is echoing on the streets of Washington,https://www.cnn.com/2021/11/09/us/ethiopia-conflict-ethiopian-americans/index.html,2021-11-09,"Catherine E. Shoichet, CNN",CNN's Chandelis Duster and Eliza Mackintosh contributed to this report.,Washington (CNN),"Updated 1823 GMT (0223 HKT) November 9, 2021",A radio host says she wakes up every morning wondering if her mom is alive.
"Young mother and elderly priest among Tigrayans arrested in Addis Ababa, witnesses say",https://www.cnn.com/2021/11/08/africa/ethiopia-detentions-ethnicity-rights-commission-intl/index.html,2021-11-08,"Katie Polglase, Gianluca Mezzofiore and Richard Allen Greene, CNN",,(CNN),"Updated 2247 GMT (0647 HKT) November 8, 2021","Witnesses say Tigrayans are being arrested in Addis Ababa in a wave of alleged ethnic targeting by authorities, after a year-long conflict in Ethiopia's northern Tigray region."
Ethiopia's military calls on former members to rejoin army as rebels advance on capital,https://www.cnn.com/2021/11/06/africa/ethiopia-military-volunteers-rebel-advance-intl/index.html,2021-11-06,"David McKenzie, CNN",CNN's Eliza Mackintosh and Kara Fox contributed to this report.,(CNN),"Updated 1407 GMT (2207 HKT) November 6, 2021","Ethiopia's military is calling on veterans to rejoin the army as two aligned rebel groups threaten the capital, marking the latest sign the government is marshaling its power to defend Addis Ababa."
Armed groups join forces in Ethiopia in biggest threat yet to embattled Prime Minister Abiy Ahmed,https://www.cnn.com/2021/11/05/africa/ethiopia-conflict-opposition-coalition-abiy-ahmed-intl/index.html,2021-11-05,"Eliza Mackintosh, CNN",CNN's David McKenzie and Jennifer Hansler contributed to this report.,(CNN),"Updated 2235 GMT (0635 HKT) November 5, 2021","Armed groups fighting Ethiopia's central government are swelling in numbers as they advance on the capital, Addis Ababa, posing the biggest threat to embattled Prime Minister Abiy Ahmed's rule since a bloody year-long conflict began in the country's northern Tigray region a year ago."
State Department establishes task force on Ethiopia as conflict rages,https://www.cnn.com/2021/11/05/politics/state-department-ethiopia-task-force/index.html,2021-11-05,"Jennifer Hansler, CNN",,(CNN),"Updated 2215 GMT (0615 HKT) November 5, 2021","The State Department has established a new task force to oversee its ""planning, management and logistics related to events in Ethiopia,"" a spokesperson confirmed Friday."
Ethiopia crisis deepens as nine groups form anti-government alliance,https://www.cnn.com/africa/live-news/ethiopia-conflict-updates-11-5-intl/index.html,2021-11-11,,,,,
Ethiopia is at war with itself. Here's what you need to know about the conflict,https://www.cnn.com/2021/11/03/africa/ethiopia-tigray-explainer-2-intl/index.html,2021-11-03,"Eliza Mackintosh, CNN","CNN's Bethlehem Feleke in Nairobi and Jennifer Hansler in Washington, DC, contributed to this report.",(CNN),"Updated 1627 GMT (0027 HKT) November 5, 2021","When Ethiopian Prime Minister Abiy Ahmed received the Nobel Peace Prize in 2019, he was lauded as a regional peacemaker. Now, he is presiding over a protracted civil war that by many accounts bears the hallmarks of genocide."
From Nobel laureate to global pariah: How the world got Abiy Ahmed and Ethiopia so wrong,https://www.cnn.com/2021/09/07/africa/abiy-ahmed-ethiopia-tigray-conflict-cmd-intl/index.html,2021-09-07,"Eliza Mackintosh, CNN",This story has been updated to correct the spelling of William Davison's name. A quote from Mehari Taddele Maru has been updated for clarity.,(CNN),"Updated 0924 GMT (1724 HKT) November 5, 2021"," ""Abiy, Abiy,"" the crowd chanted, waving Ethiopia's tricolor flag and cheering as the country's new prime minister, dressed in a white blazer with gold trim and smiling broadly, waved to a packed basketball arena at the University of Southern California in Los Angeles, part of a whirlwind three-city tour of the United States to woo the diaspora."
