,headline,url,date
0,Ethiopia's military calls on former members to rejoin army as rebels advance on capital,https://www.cnn.com/2021/11/06/africa/ethiopia-military-volunteers-rebel-advance-intl/index.html,2021-11-06
1,Armed groups join forces in Ethiopia in biggest threat yet to embattled Prime Minister Abiy Ahmed,https://www.cnn.com/2021/11/05/africa/ethiopia-conflict-opposition-coalition-abiy-ahmed-intl/index.html,2021-11-05
2,State Department establishes task force on Ethiopia as conflict rages,https://www.cnn.com/2021/11/05/politics/state-department-ethiopia-task-force/index.html,2021-11-05
5,Ethiopia is at war with itself. Here's what you need to know about the conflict,https://www.cnn.com/2021/11/03/africa/ethiopia-tigray-explainer-2-intl/index.html,2021-11-03
6,From Nobel laureate to global pariah: How the world got Abiy Ahmed and Ethiopia so wrong,https://www.cnn.com/2021/09/07/africa/abiy-ahmed-ethiopia-tigray-conflict-cmd-intl/index.html,2021-09-07
7,The week in 30 photos,https://www.cnn.com/2021/11/04/world/gallery/photos-this-week-october-28-november-4/index.html,2021-11-04
9,Rebels threaten Ethiopian capital as UN slams atrocities committed in Tigray conflict,https://www.cnn.com/2021/11/03/africa/ethiopia-tigray-un-ehrc-investigation-intl/index.html,2021-11-03
10,"5 things to know for November 3: Elections, COP26, Congress, Covid-19, Ethiopia",https://www.cnn.com/2021/11/03/us/five-things-november-3-trnd/index.html,2021-11-03
11,Ethiopia announces state of emergency as Tigrayan forces gain ground,https://www.cnn.com/2021/11/02/africa/ethiopia-state-of-emergency-tigrayan-intl-afr/index.html,2021-11-02
12,Ethiopia on verge of losing access to lucrative US trade program over human rights violations,https://www.cnn.com/2021/11/02/politics/ethiopia-agoa-eligibility-2022/index.html,2021-11-02
13,Ethiopia says Tigray forces killed 100 youths in key town; TPLF denies claim,https://www.cnn.com/2021/11/01/africa/ethiopia-tigray-kombolcha-abiy-intl/index.html,2021-11-01
14,"Mekelle struck, residents flee Amhara as Ethiopia battle intensifies",https://www.cnn.com/2021/10/22/africa/ethiopia-airstrikes-tigray-friday-intl/index.html,2021-10-22
15,Fresh airstrikes hit capital of Ethiopia's war-torn Tigray region,https://www.cnn.com/2021/10/20/africa/airstrikes-hit-mekelle-tigray-ethiopia-intl/index.html,2021-10-20
16,"Three children killed in airstrikes on Ethiopia's Tigray region, UN says",https://www.cnn.com/2021/10/19/africa/ethiopia-airstrikes-tigray-children-killed-un-intl/index.html,2021-10-19
17,"Capital of Ethiopia's Tigray region hit by airstrikes, eyewitness and local forces say",https://www.cnn.com/2021/10/18/africa/ethiopia-tigray-mekelle-airstrikes-intl/index.html,2021-10-18
18,US to donate more than 17 million Johnson & Johnson Covid-19 vaccines to African Union,https://www.cnn.com/2021/10/14/politics/us-donate-17-million-doses-african-union/index.html,2021-10-14
20,Ethiopia used its flagship commercial airline to transport weapons during war in Tigray,https://www.cnn.com/2021/10/06/africa/ethiopian-airlines-investigation-tigray-war-intl-cmd/index.html,2021-10-06
21,US warns it could sanction Ethiopia after CNN reveals airline ferried weapons during Tigray war,https://www.cnn.com/2021/10/07/africa/us-warns-ethiopian-airlines-investigation-tigray-intl/index.html,2021-10-07
22,"5 things to know for October 6: Facebook, Congress, coronavirus, NYPD, Ethiopia",https://www.cnn.com/2021/10/06/us/five-things-october-6-trnd/index.html,2021-10-06
23,Ethiopian parliament confirms Abiy Ahmed as prime minister,https://www.cnn.com/2021/10/04/africa/ethiopia-prime-minister-abiy-ahmed-sworn-in-intl/index.html,2021-10-04
24,UN Secretary-General rebuffs Ethiopia's demand for senior UN officials to leave the country,https://www.cnn.com/2021/10/02/africa/ethiopia-unsc-tigray-hunger-intl/index.html,2021-10-02
25,"5 things to know for October 1: Congress, coronavirus, immigration, opioids, Ethiopia",https://www.cnn.com/2021/10/01/us/five-things-october-1-trnd/index.html,2021-10-01
26,Ethiopia to expel UN officials amid fears of Tigray famine,https://www.cnn.com/2021/09/30/africa/ethiopia-expels-un-officials-tigray-hunger-intl/index.html,2021-09-30
27,Where is the outrage for Ethiopia?,https://www.cnn.com/2021/09/29/opinions/tigray-ethiopia-call-to-action-sesay-ujiri-agbor-tabi-akinnagbe/index.html,2021-09-29
28,Biden signs executive order authorizing new Ethiopia sanctions amid reports of atrocities,https://www.cnn.com/2021/09/17/politics/biden-ethiopia-eo/index.html,2021-09-17
29,Men are marched out of prison camps. Then corpses float down the river,https://www.cnn.com/2021/09/05/africa/ethiopia-tigray-humera-sudan-bodies-cmd-intl/index.html,2021-09-05
30,"5 things to know for September 6: Covid-19, Afghanistan, Ida, gun violence, Ethiopia",https://www.cnn.com/2021/09/06/us/five-things-september-6-trnd/index.html,2021-09-06
31,Video of Ethiopia massacre shows soldiers documenting executions,https://www.cnn.com/videos/world/2021/06/28/ethiopia-massacre-soldiers-phone-executions-elbagir-pkg-lead-vpx.cnn,2021-06-28
32,"Sexual violence against women and girls in Ethiopia's Tigray region amount to war crimes, Amnesty says",https://www.cnn.com/2021/08/12/africa/tigray-ethiopia-sexual-violence-amnesty-report-intl/index.html,2021-08-12
33,Tigrayan fighters reportedly seize control of UN World Heritage Site in Ethiopia,https://www.cnn.com/2021/08/06/africa/ethiopia-lalibela-tigray-forces-intl-afr/index.html,2021-08-06
34,At least 30 bodies float down river between Ethiopia's Tigray and Sudan,https://www.cnn.com/2021/08/03/africa/ethiopia-tigray-sudan-bodies-intl-afr/index.html,2021-08-03
35,"UN says food aid in Ethiopia's war-torn Tigray region will run out Friday as 400,000 people face famine",https://www.cnn.com/2021/07/30/africa/tigray-un-food-aid-famine-intl/index.html,2021-07-30
36,"Ethiopia's Tigray forces enter neighboring Afar region, Afar says",https://www.cnn.com/2021/07/20/africa/ethiopia-tigray-forces-afar-region-intl/index.html,2021-07-20
37,"5 things to know for July 12: Coronavirus, extreme heat, Haiti, Ethiopia, Cuba",https://www.cnn.com/2021/07/12/us/five-things-july-12-trnd/index.html,2021-07-12
38,Food and fuel running out in capital of Ethiopia's war-torn Tigray region,https://www.cnn.com/2021/07/03/africa/tigray-ethiopia-food-shortage-intl/index.html,2021-07-03
39,The week in 30 photos,https://www.cnn.com/2021/07/01/world/gallery/photos-this-week-june-24-july-1/index.html,2021-07-01
40,Ethiopia is at war with itself. Here's what you need to know about the conflict,https://www.cnn.com/2021/06/30/africa/ethiopia-tigray-conflict-explained-intl/index.html,2021-06-30
41,Rebels in Tigray reject calls for ceasefire after Ethiopian government forces withdraw from regional capital,https://www.cnn.com/2021/06/29/africa/tigray-ethiopia-ceasefire-intl/index.html,2021-06-29
42,Ethiopia's government announce ceasefire as Tigrayan troops retake region's capital,https://www.cnn.com/2021/06/28/world/ethiopian-forces-mekelle-intl-latam/index.html,2021-06-28
43,New video of Ethiopia massacre shows soldiers passing phone around to document their executions of unarmed men,https://www.cnn.com/2021/06/27/africa/ethiopia-massacre-tigray-mahibere-dego-cmd-intl/index.html,2021-06-27
44,The week in 38 photos,https://www.cnn.com/2021/06/24/world/gallery/photos-this-week-june-18-june-24/index.html,2021-06-24
45,Condemnation builds over deadly government airstrike in Tigray,https://www.cnn.com/2021/06/24/africa/ethiopia-tigray-military-airstrike-intl/index.html,2021-06-24
46,Voting underway in Ethiopia amid conflict and a raging humanitarian crisis,https://www.cnn.com/2021/06/21/africa/ethiopia-election-abiy-ahmed-cmd-intl/index.html,2021-06-21
47,"5 things to know for June 21: Gun violence, coronavirus, voting, Russia, Ethiopia",https://www.cnn.com/2021/06/21/us/five-things-june-21-trnd/index.html,2021-06-21
48,"'There is famine in Ethiopia right now,' says UN aid chief",https://www.cnn.com/2021/06/10/africa/famine-tigray-amhara-afar-intl/index.html,2021-06-10
49,UN report: 350K facing starvation in conflict-hit Ethiopia,https://www.cnn.com/videos/world/2021/06/13/ethiopia-famine-thousands-facing-starvation-busari-lklv-nr-intl-vpx.cnn,2021-06-13
50,"5 things to know for June 11: Biden, Covid-19, Capitol riot, Ethiopia, US drought",https://www.cnn.com/2021/06/11/us/five-things-june-11-trnd/index.html,2021-06-11
51,"Ethiopian government defends actions in Tigray Region, accuses critics of 'orchestrated attack'",https://www.cnn.com/2021/06/03/africa/ethiopia-government-tigray-intl/index.html,2021-06-03
52,Hundreds of detained Tigrayans released following CNN report,https://www.cnn.com/2021/05/28/africa/tigray-ethiopia-detainees-released-intl/index.html,2021-05-28
53,"Tigrayans told, 'We'll see if America will save you now,' as hundreds rounded up by Ethiopian and Eritrean soldiers",https://www.cnn.com/2021/05/26/africa/ethiopia-tigray-detained-by-soldiers-intl/index.html,2021-05-26
54,The Nobel Peace Prize winner who's presiding over a humanitarian catastrophe,https://www.cnn.com/2021/05/25/opinions/abiy-ahmed-ethiopia-human-rights-gulino-jamal/index.html,2021-05-25
55,US Senate passes unanimous resolution calling for withdrawal of Eritrean forces from Ethiopia,https://www.cnn.com/2021/05/20/africa/ethiopia-tigray-eritrea-troops-us-resolution-intl/index.html,2021-05-20
56,"5 things to know for May 17: Mideast violence, coronavirus, Capitol riot, US policing, Tigray",https://www.cnn.com/2021/05/17/us/five-things-may-17-trnd/index.html,2021-05-17
57,US condemns 'atrocities' in Tigray and calls for those responsible to be 'held to account' after CNN investigation,https://www.cnn.com/2021/05/15/politics/us-condemns-tigray-atrocities-cnn-investigation/index.html,2021-05-15
58,"5 things to know for May 14: Covid-19, US policing, immigration, Afghanistan, Tigray",https://www.cnn.com/2021/05/14/us/five-things-may-14-trnd/index.html,2021-05-14
59,Top House Foreign Affairs member calls for sanctions in Tigray after CNN report shows military forces blocking aid,https://www.cnn.com/2021/05/13/politics/mccaul-pushes-biden-administrations-sanctions-tigray/index.html,2021-05-13
60,Eritrean troops disguised as Ethiopian military are blocking critical aid in Tigray,https://www.cnn.com/2021/05/12/africa/tigray-axum-aid-blockade-cmd-intl/index.html,2021-05-12
61,UN confirms military forces blocking aid in Ethiopia's Tigray region following CNN investigation,https://www.cnn.com/2021/05/13/africa/ethiopia-tigray-un-confirms-military-aid-blockade-intl/index.html,2021-05-13
62,Ethiopian Orthodox Church Patriarch condemns Tigray 'genocide',https://www.cnn.com/2021/05/08/africa/orthodox-church-tigray-ethiopia-intl/index.html,2021-05-08
63,"UN breaks silence on Ethiopia crisis, urges investigation into reported Tigray atrocities",https://www.cnn.com/2021/04/23/africa/un-security-council-ethiopia-tigray-intl/index.html,2021-04-23
64,US looking into reports of Ethiopian military executing unarmed men after CNN investigation,https://www.cnn.com/2021/04/06/africa/tigray-ethiopia-us-state-department-reaction-intl/index.html,2021-04-06
65,'Two bullets is enough',https://www.cnn.com/2021/04/01/africa/tigray-mahibere-dego-massacre-video-cmd-intl/index.html,2021-04-01
66,Ethiopia dismisses evidence of war crimes verified by CNN investigation,https://www.cnn.com/2021/04/02/africa/tigray-soldier-massacre-ethiopia-response-intl/index.html,2021-04-02
67,Blinken dismisses Pompeo's controversial initiative to rank human rights,https://www.cnn.com/2021/03/30/politics/blinken-2020-human-rights-report/index.html,2021-03-30
68,Ethiopian Prime Minister says Eritrea will withdraw troops from Tigray,https://www.cnn.com/2021/03/26/africa/tigray-ethiopia-eritrea-asmara-intl/index.html,2021-03-26
69,Ethiopian leader says troops who raped civilians in Tigray will be held to account after CNN investigation,https://www.cnn.com/2021/03/23/africa/ethiopia-rape-abuse-abiy-response-intl/index.html,2021-03-23
70,'Practically this has been a genocide',https://www.cnn.com/2021/03/19/africa/ethiopia-tigray-rape-investigation-cmd-intl/index.html,2021-03-19
71,Massacre in the mountains,https://www.cnn.com/2021/02/26/africa/ethiopia-tigray-dengelat-massacre-intl/index.html,2021-02-26
72,Women reveal rape being used as weapon of war in Ethiopia,https://www.cnn.com/videos/world/2021/03/19/nima-elbagir-ethiopia-tigray-region-women-deaths-flee-rape-war-lead-vpx.cnn,2021-03-19
