headline,url,date
"5 things to know for November 11: Covid, Capitol riot, Rittenhouse, climate, Ethiopia",https://www.cnn.com/2021/11/11/us/five-things-november-11-trnd/index.html,2021-11-11
Ethiopia's leader said he would bury his enemy. His spokeswoman doesn't think it was incitement to violence,https://www.cnn.com/2021/11/10/africa/ethiopia-billene-seyoum-getachew-reda-ctw-interview-intl/index.html,2021-11-10
Amnesty International accuses Tigrayan rebel fighters of gang raping women in Ethiopia,https://www.cnn.com/2021/11/10/africa/amnesty-ethiopia-tplf-rape-intl/index.html,2021-11-10
Ethiopia's war is echoing on the streets of Washington,https://www.cnn.com/2021/11/09/us/ethiopia-conflict-ethiopian-americans/index.html,2021-11-09
"Young mother and elderly priest among Tigrayans arrested in Addis Ababa, witnesses say",https://www.cnn.com/2021/11/08/africa/ethiopia-detentions-ethnicity-rights-commission-intl/index.html,2021-11-08
Ethiopia's military calls on former members to rejoin army as rebels advance on capital,https://www.cnn.com/2021/11/06/africa/ethiopia-military-volunteers-rebel-advance-intl/index.html,2021-11-06
Armed groups join forces in Ethiopia in biggest threat yet to embattled Prime Minister Abiy Ahmed,https://www.cnn.com/2021/11/05/africa/ethiopia-conflict-opposition-coalition-abiy-ahmed-intl/index.html,2021-11-05
State Department establishes task force on Ethiopia as conflict rages,https://www.cnn.com/2021/11/05/politics/state-department-ethiopia-task-force/index.html,2021-11-05
Ethiopia crisis deepens as nine groups form anti-government alliance,https://www.cnn.com/africa/live-news/ethiopia-conflict-updates-11-5-intl/index.html,2021-11-11
Ethiopia is at war with itself. Here's what you need to know about the conflict,https://www.cnn.com/2021/11/03/africa/ethiopia-tigray-explainer-2-intl/index.html,2021-11-03
From Nobel laureate to global pariah: How the world got Abiy Ahmed and Ethiopia so wrong,https://www.cnn.com/2021/09/07/africa/abiy-ahmed-ethiopia-tigray-conflict-cmd-intl/index.html,2021-09-07
The week in 30 photos,https://www.cnn.com/2021/11/04/world/gallery/photos-this-week-october-28-november-4/index.html,2021-11-04
"Ethiopian rebels edge closer to Addis Ababa, as fears grow over all-out war",https://www.cnn.com/africa/live-news/ethiopia-conflict-updates-11-4-intl/index.html,2021-11-11
Rebels threaten Ethiopian capital as UN slams atrocities committed in Tigray conflict,https://www.cnn.com/2021/11/03/africa/ethiopia-tigray-un-ehrc-investigation-intl/index.html,2021-11-03
"5 things to know for November 3: Elections, COP26, Congress, Covid-19, Ethiopia",https://www.cnn.com/2021/11/03/us/five-things-november-3-trnd/index.html,2021-11-03
Ethiopia announces state of emergency as Tigrayan forces gain ground,https://www.cnn.com/2021/11/02/africa/ethiopia-state-of-emergency-tigrayan-intl-afr/index.html,2021-11-02
Ethiopia on verge of losing access to lucrative US trade program over human rights violations,https://www.cnn.com/2021/11/02/politics/ethiopia-agoa-eligibility-2022/index.html,2021-11-02
Ethiopia says Tigray forces killed 100 youths in key town; TPLF denies claim,https://www.cnn.com/2021/11/01/africa/ethiopia-tigray-kombolcha-abiy-intl/index.html,2021-11-01
"Mekelle struck, residents flee Amhara as Ethiopia battle intensifies",https://www.cnn.com/2021/10/22/africa/ethiopia-airstrikes-tigray-friday-intl/index.html,2021-10-22
